Contrato;Estado;Descrição;Tipo de contrato;Tipo de procedimento;Data de publicação;Data de celebração;Data de fecho;Prazo de execução;Local de execução (País, Distrito, Concelho);Preço contratual;Preço total efetivo;Entidade adjudicante;Entidade adjudicante (NIF);Entidade adjudicante (ID);Entidade adjudicatária;Entidade adjudicatária (NIF);Entidade adjudicatária (ID);Convidados (ID|NIF|Descrição);Concorrentes (ID|NIF|Descrição);Anúncio (ID);Fundamentação;Fundamentação da necessidade de recurso ao ajuste direto;Procedimento centralizado;CPV;Objeto do contrato;Incrementos superiores a 15%;Causas das alterações do prazo;Causas das alterações do preço;Documentos (IDs);Observações
31;;Fornecimento continuo de Material em PEAD - Aguas;;Ajuste directo;18/08/2008;;;120 dias;;42.010,80 €;;AGERE – Empresa de Aguas, Efluentes e Resíduos de Braga - EM;504807692;61;Mário Gonçalves Lda;500183872;62;;;;Não Preenchido;Não aplicável;;;Fornecimento continuo de Material em PEAD - Aguas;;;;;
32;;Fornecimento continuo de Material em Latão - Aguas;;Ajuste directo;18/08/2008;;;120 dias;;17.829,77 €;;AGERE – Empresa de Aguas, Efluentes e Resíduos de Braga - EM;504807692;61;Mário Gonçalves Lda;500183872;62;;;;Não Preenchido;Não aplicável;;;Fornecimento continuo de Material em Latão - Aguas;;;;;
33;;Fornecimento continuo de Válvulas e Abraçadeiras Tipo AVK ou equivalente;;Ajuste directo;18/08/2008;;;120 dias;;34.825,04 €;;AGERE – Empresa de Aguas, Efluentes e Resíduos de Braga - EM;504807692;61;Mário Gonçalves Lda;500183872;62;;;;Não Preenchido;Não aplicável;;;Fornecimento continuo de Válvulas e Abraçadeiras Tipo AVK ou equivalente;;;;;
34;;Fornecimento continuo de Produtos de Limpeza e desinfecção de Viaturas;;Ajuste directo;18/08/2008;;;120 dias;;10.130,76 €;;AGERE – Empresa de Aguas, Efluentes e Resíduos de Braga - EM;504807692;61;Lubriquimica – Combustíveis e Produtos Químicos, Lda;504277499;63;;;;Não Preenchido;Não aplicável;;;Fornecimento continuo de Produtos de Limpeza e desinfecção de Viaturas;;;;;
35;;Fornecimento continuo de Sacos de Plastico;;Ajuste directo;17/06/2009;;;120 dias;Portugal, Braga, Braga;14.255,50 €;;AGERE – Empresa de Aguas, Efluentes e Resíduos de Braga - EM;504807692;61;Xavier Ferreira & Filhos SA;500302081;64;;;;Não Preenchido;Não aplicável;;;Fornecimento continuo de Sacos de Plastico;;;;;
36;;Contratação de Animação para o Festival da Juventude 2008;;Ajuste directo;19/08/2008;;;8 dias;;39.480,00 €;;Câmara Municipal de Aljezur;505932512;65;Luís Loução – Produções e Espectáculos;109612477;66;;;;Não Preenchido;Não aplicável;;;Contratação de Animação para o Festival da Juventude 2008;;;;;
37;;Espectáculo Musical – Ana Moura - 22/09/2008;;Ajuste directo;12/08/2008;;;1 dias;;9.750,00 €;;Câmara Municipal de Elvas;501272968;67;Artes e Produções - José Carvalho Unipessoal, Lda;507240502;68;;;;Nos termos da Alínea e) do n.º 1 do Artigo 24.º do DL 18/2008 de 29 de Janeiro;Não aplicável;;;Espectáculo Musical – Ana Moura - 22/09/2008;;;;;
38;;Fornecimento continuo de Flanges, Válvulas, Uniões e Combi-T´s Tipo Hawle ou equivalente;;Ajuste directo;19/08/2008;;;120 dias;;36.302,35 €;;AGERE – Empresa de Aguas, Efluentes e Resíduos de Braga - EM;504807692;61;Afluxo SA;502745789;69;;;;Não Preenchido;Não aplicável;;;Fornecimento continuo de Flanges, Válvulas, Uniões e Combi-T´s Tipo Hawle ou equivalente;;;;;
39;;Execução trabalhos no vestiário do pessoal no Hospital Termal;;Ajuste directo;19/08/2008;;;5 dias;;6.657,07 €;;Centro Hospitalar das Caldas da Rainha;501178708;70;Paulo Silva Santos, Lda.;504455133;71;;;;Alínea a) do n.º 1 do artigo 25º Dec-Lei 18/2008 de 29/1;Não aplicável;;;Execução trabalhos no vestiário do pessoal no Hospital Termal;;;;;
40;;Construção de muro em betão para suporte de estrutura metálica;;Ajuste directo;19/08/2008;;;30 dias;;55.018,80 €;;Centro Hospitalar das Caldas da Rainha;501178708;70;Torres Martins & Franca, Lda.;501299980;72;;;;"Alínea a); i) e ii) do n.º 1 do artigo 25º Dec-Lei 18/2008 de 29/1";Não aplicável;;;Construção de muro em betão para suporte de estrutura metálica;;;;;
41;;Prestação de serviços médicos de anestesiologia – bloco operatório;;Ajuste directo;19/08/2008;;;30 dias;;6.930,00 €;;Centro Hospitalar das Caldas da Rainha;501178708;70;Isabel Oliveira Eusébio;125067690;73;;;;Artigo 23º e alínea c) do n.º 1 do artigo 24º Dec-Lei 18/2008 de 29/1;Não aplicável;;;Prestação de serviços médicos de anestesiologia – bloco operatório;;;;;
42;;Prestação de serviços médicos de cirurgia geral – serviço de urgência;;Ajuste directo;19/08/2008;;;30 dias;;7.537,50 €;;Centro Hospitalar das Caldas da Rainha;501178708;70;Mecitrab;504544446;74;;;;Artigo 23º e alínea c) do n.º 1 do artigo 24º Dec-Lei 18/2008 de 29/1;Não aplicável;;;Prestação de serviços médicos de cirurgia geral – serviço de urgência;;;;;
43;;2 Licenças Adobe Acrobat 9 Win Inglês e 1 Mediakit para Adobe Acrobat 9 Win Inglês;;Ajuste directo;19/08/2008;;;10 dias;;719,78 €;;Gabinete de Estratégia e Estudos – Ministério da Economia e da Inovação;600075079;75;Prológica, Sistemas Informáticos, S.A.;501432507;76;;;;Não Preenchido;Não aplicável;;;2 Licenças Adobe Acrobat 9 Win Inglês e 1 Mediakit para Adobe Acrobat 9 Win Inglês;;;;;
44;;Fornecimento continuo de Toner´s;;Ajuste directo;19/08/2008;;;120 dias;;6.194,11 €;;AGERE – Empresa de Aguas, Efluentes e Resíduos de Braga - EM;504807692;61;Ricardo & Vaz LDA;503800317;77;;;;Não Preenchido;Não aplicável;;;Fornecimento continuo de Toner´s;;;;;
45;;Aquisição  de um Duplicador para o Serviço de Reprografia.;;Ajuste directo;19/08/2008;;;1 dias;;8.450,00 €;;Câmara Municipal de Monforte;506873412;78;Point of Painting, Lda.;507505603;79;;;;Não Preenchido;Não aplicável;;;Aquisição  de um Duplicador para o Serviço de Reprografia.;;;;;
46;;Espectáculo com artista Cristina Branco;;Ajuste directo;19/08/2008;;;10 dias;;18.000,00 €;;Câmara Municipal de Lagos;505170876;80;António Ribeiro da Cunha, Unipessoal, Ldª.;506398137;81;;;;Alínea e) do nº.1 do artº. 24º.do Dec.- Lei nº.18/2008, de 29/01;Não aplicável;;;Espectáculo com artista Cristina Branco;;;;;
47;;Espectáculo do artista Marco Paulo;;Ajuste directo;19/08/2008;;;11 dias;;20.400,00 €;;Câmara Municipal de Lagos;505170876;80;Hernando- Produção de Espectáculos e Promoção de Artistas, Ldª.;504050826;82;;;;Alínea e) do nº.1 do artº.24º. do Dec. -Lei nº.18/2008, de 29/01;Não aplicável;;;Espectáculo do artista Marco Paulo;;;;;
48;;Aquisição de serviços para apoio logístico e organização do encontro regional “UMA REGIÃO, UM PROJECTO… MELHOR  FUTURO”;;Ajuste directo;18/08/2008;;;75 dias;;39.600,00 €;;Associação de Municípios da Região de Setúbal;501380574;83;Cooperação e Desenvolvimento Regional S.A. – Agência de Desenvolvimento Regional de Setúbal;502982314;84;;;;Não Preenchido;Não aplicável;;;Aquisição de serviços para apoio logístico e organização do encontro regional “UMA REGIÃO, UM PROJECTO… MELHOR  FUTURO”;;;;;
49;;Recondicionamento das Caldeiras da Piscina Municipal;;Ajuste directo;19/08/2008;;;10 dias;;8.738,00 €;;Câmara Municipal da Moita;506791220;85;Isolmobel—Projecto-Climatização & Tecnologia de Interiores, Ldª;503213764;86;;;;Não Preenchido;Não aplicável;;;Recondicionamento das Caldeiras da Piscina Municipal;;;;;
50;;Aquisiçao de serviços para a realização de estudo “Actualização da Caracterização “MACROECONÓMICA” da Península de Setúbal Apresentada no PEDEPES” e “Avaliação do Grau de Implementação das Medidas Propostas no PEDEPES”;;Ajuste directo;19/08/2008;;;75 dias;;25.000,00 €;;Associação de Municípios da Região de Setúbal;501380574;83;ISEG – Instituto Superior de Economia e Gestão – Universidade Técnica de Lisboa;503631701;87;;;;Não Preenchido;Não aplicável;;;Aquisiçao de serviços para a realização de estudo “Actualização da Caracterização “MACROECONÓMICA” da Península de Setúbal Apresentada no PEDEPES” e “Avaliação do Grau de Implementação das Medidas Propostas no PEDEPES”;;;;;
51;;Organização, concepção  concurso fotografia  no âmbito das “Festas do Mar 2008”;;Ajuste directo;19/08/2008;;;15 dias;;14.000,00 €;;Câmara Municipal de Cascais;505187531;88;Allways Unipessoal, Lda;508528631;89;;;;Não Preenchido;Não aplicável;;;Organização, concepção  concurso fotografia  no âmbito das “Festas do Mar 2008”;;;;;
52;;Serviços animação diurna no recinto das “Festas do Mar 2008”;;Ajuste directo;19/08/2008;;;15 dias;;14.500,00 €;;Câmara Municipal de Cascais;505187531;88;Allways Unipessoal, Lda;508528631;89;;;;Não Preenchido;Não aplicável;;;Serviços animação diurna no recinto das “Festas do Mar 2008”;;;;;
53;;Microsoft School Agreement;;Ajuste directo;20/08/2008;;;365 dias;;21.641,93 €;;Centro Formação Profissional das Pescas e do Mar (FOR-MAR);508590582;19;Prológica – Sistemas Informáticos, SA;501432507;76;;;;Não Preenchido;Não aplicável;;;Microsoft School Agreement;;;;;
54;;"Aquisição de serviços para a organização do karting de rua Alandroal 2008, com a
presença de um actor dos “Morangos com açúcar”.";;Ajuste directo;20/08/2008;;;1 dias;;9.600,00 €;;Câmara Municipal de Alandroal;506772527;91;Idealboard – Unipessoal, Lda;508695198;92;;;;Alínea e) do n.º 1, Artº 24º, do Decreto-lei n.º 18/2008 de 29/01/2008.;Não aplicável;;;"Aquisição de serviços para a organização do karting de rua Alandroal 2008, com a
presença de um actor dos “Morangos com açúcar”.";;;;;
55;;Feira do Livro – 5 espectáculos no coreto;;Ajuste directo;14/08/2008;;;13 dias;;9.200,00 €;;Câmara Municipal de Faro;506579425;93;Blind Note;504994301;94;;;;Não Preenchido;Não aplicável;;;Feira do Livro – 5 espectáculos no coreto;;;;;
56;;Realização de espectáculos pirotécnicos e piromusicais no âmbito das “Festas do Mar 2008”;;Ajuste directo;20/08/2008;;;10 dias;;39.500,00 €;;Câmara Municipal de Cascais;505187531;88;Lusoevents –Produções Multimédia, Lda;506517527;95;;;;Não Preenchido;Não aplicável;;;Realização de espectáculos pirotécnicos e piromusicais no âmbito das “Festas do Mar 2008”;;;;;
57;;"Fornecimento de 1 máquina embaladora de medicamentos, destinada à
distribuição individual diária em dose unitária";;Ajuste directo;20/08/2008;;;45 dias;;30.000,00 €;;Centro Hospitalar Psiquiátrico de Coimbra;508412110;96;Grifols Portugal, Ld.ª;502041285;97;;;;Não Preenchido;Não aplicável;;;"Fornecimento de 1 máquina embaladora de medicamentos, destinada à
distribuição individual diária em dose unitária";;;;;
58;;Substituição / Aquisição de Ampola para a TAC;;Ajuste directo;20/08/2008;;;3 dias;;43.200,00 €;;Hospital Central de Faro;501457399;49;Siemens, S A;500247480;98;;;;Ao abrigo da alínea e) do n.º 1 do art. 24º do Decreto Lei 18/08 de 29 de Janeiro;Não aplicável;;;Substituição / Aquisição de Ampola para a TAC;;;;;
59;;Aquisição de serviços de operação e administração de Sistemas de Networking e Segurança.;;Ajuste directo;20/08/2008;;;60 dias;;9.600,00 €;;Agência para a Modernização Administrativa, IP;508184509;99;Mainroad - Serviços em Tecnologias de Informação, SA;506518108;100;;;;Não Preenchido;Não aplicável;;;Aquisição de serviços de operação e administração de Sistemas de Networking e Segurança.;;;;;
60;;Aluguer de Módulos para as Festas de N.ª Sr.ª dos Remédios / 2008;;Ajuste directo;21/08/2008;;;24 dias;;5.515,00 €;;Câmara Municipal de Lamego;506572218;101;Spormex – Grupo – Soc. Portuguesa de Montagens de Exposições, Lda;501956514;102;;;;Não Preenchido;Não aplicável;;;Aluguer de Módulos para as Festas de N.ª Sr.ª dos Remédios / 2008;;;;;
61;;Execução de um muro de pedra da região;Aquisição de serviços;Ajuste directo;21/08/2008;21/08/2008;30/09/2008;60 dias;Portugal, Castelo Branco, Sertã;6.500,00 €;6.500,00 €;Câmara Municipal da Sertã;506963837;103;Isidro Farinha & Filhos Construções Lda;507351258;104;;;;Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos;Não aplicável;;98300000-6, Serviços diversos;Execução de um muro de pedra da região;;;;;
63;;Prestação serviços médicos clínica geral no Serviço de Urgência;;Ajuste directo;21/08/2008;;;30 dias;;18.858,84 €;;Centro Hospitalar das Caldas da Rainha;501178708;70;Medicisforma;503755397;106;;;;"Alínea a); i) e ii) do n.º 1 do artigo 27º Dec-Lei 18/2008 de 29/1";Não aplicável;;;Prestação serviços médicos clínica geral no Serviço de Urgência;;;;;
64;;"Apoio e acompanhamento técnico especializado, num período pós‐missão, às PME para definição de um
Plano de Acção Internacional Individualizado; Avaliação dos resultados das missões empresariais.";;Ajuste directo;21/08/2008;;;143 dias;;28.050,00 €;;Associação Industrial do Distrito de Aveiro;501668454;107;Sociedade Portuguesa de Inovação, Lda;503821012;108;;;;Não Preenchido;Não aplicável;;;"Apoio e acompanhamento técnico especializado, num período pós‐missão, às PME para definição de um
Plano de Acção Internacional Individualizado; Avaliação dos resultados das missões empresariais.";;;;;
65;;"Criação de plataforma online de promoção e negócio para as empresas portuguesas no exterior, com o
objectivo de capitalizar o seu potencial de exportação; Desenvolvimento de conteúdos vídeo; Publicidade e
divulgação on line; entrevistas com empresários no exterior.";;Ajuste directo;21/08/2008;;;100 dias;;74.525,00 €;;Associação Industrial do Distrito de Aveiro;501668454;107;Senso Comum‐Serviços de Informática e Telecomunicações Lda;505688220;109;;;;Não Preenchido;Não aplicável;;;"Criação de plataforma online de promoção e negócio para as empresas portuguesas no exterior, com o
objectivo de capitalizar o seu potencial de exportação; Desenvolvimento de conteúdos vídeo; Publicidade e
divulgação on line; entrevistas com empresários no exterior.";;;;;
66;;Aluguer de monoblocos (Módulos Pré-Fabricados de salas de aula);;Ajuste directo;21/08/2008;;;300 dias;;16.340,00 €;;Câmara Municipal de Vila Franca de Xira;506614913;110;Euromódulo, Lda.;504385020;111;;;;Não Preenchido;Não aplicável;;;Aluguer de monoblocos (Módulos Pré-Fabricados de salas de aula);;;;;
67;;Aluguer de monoblocos (Módulos Pré-Fabricados de salas de aula);;Ajuste directo;21/08/2008;;;150 dias;;5.075,00 €;;Câmara Municipal de Vila Franca de Xira;506614913;110;Euromódulo, Lda.;504385020;111;;;;Não Preenchido;Não aplicável;;;Aluguer de monoblocos (Módulos Pré-Fabricados de salas de aula);;;;;
68;;Construção de stand em regime de aluguer, impressão digital de painéis, logótipo e aluguer de mobiliário, montagem e desmontagem de stand;;Ajuste directo;21/08/2008;;;13 dias;;6.360,00 €;;Instituto do Emprego e Formação Profissional, I.P.;501442600;112;Jetstand – Montagem de Stands, Feiras e Exposições, Lda.;503893684;113;;;;Não Preenchido;Não aplicável;;;Construção de stand em regime de aluguer, impressão digital de painéis, logótipo e aluguer de mobiliário, montagem e desmontagem de stand;;;;;
69;;Fornecimento de Serviços Técnicos Especializados no âmbito do Manual da Intervenção Técnica do Serviço Social na Formação Profissional;;Ajuste directo;21/08/2008;;;152 dias;;9.400,00 €;;Instituto do Emprego e Formação Profissional, I.P. – Centro de Formação Profissional de Castelo Branco;501442600;112;Codinfor - Consultadoria e Formação, Lda.;508232481;115;;;;Não Preenchido;Não aplicável;;;Fornecimento de Serviços Técnicos Especializados no âmbito do Manual da Intervenção Técnica do Serviço Social na Formação Profissional;;;;;
70;;Aquisição de Serviços para um espectáculo com a banda cubana “LOS CUBANITOS”;;Ajuste directo;21/08/2008;;;1 dias;;9.600,00 €;;Câmara Municipal de Vila do Bispo;506730573;116;Estratégia – Produção de Eventos culturais, Lda;504821440;117;;;;Alínea e) do nº. 1 do artigo 24º. do Decreto-lei nº. 18/2008 de 29 de Janeiro;Não aplicável;;;Aquisição de Serviços para um espectáculo com a banda cubana “LOS CUBANITOS”;;;;;
71;;Aquisição da aplicação Adobe CS3;;Ajuste directo;21/08/2008;;;3 dias;;1.507,98 €;;Direcção-Geral do Consumidor;501506306;118;Normática – Serviços de Informática e Organização, S.A.;501782230;119;;;;Não Preenchido;Não aplicável;;;Aquisição da aplicação Adobe CS3;;;;;
72;;Aquisição de serviços – reserva de alojamento para técnicos do grupo Simply Red;;Ajuste directo;21/08/2008;;;1 dias;;1.755,00 €;;Câmara Municipal de Albufeira;503539473;120;Star Viagens e Turismo, SA;500886113;121;;;;Alínea h) do n.º1 do artigo 27.º do Decreto-Lei n.º18/2008, de 29/01.;Não aplicável;;;Aquisição de serviços – reserva de alojamento para técnicos do grupo Simply Red;;;;;
73;;Aquisição de serviços – reserva de alojamento para artistas e técnicos do evento de dance music Optimus Summer Spirit Albufeira;;Ajuste directo;21/08/2008;;;2 dias;;13.000,00 €;;Câmara Municipal de Albufeira;503539473;120;Star Viagens e Turismo, SA;500886113;121;;;;Alínea h) do n.º1 do artigo 27.º do Decreto-Lei n.º18/2008, de 29/01.;Não aplicável;;;Aquisição de serviços – reserva de alojamento para artistas e técnicos do evento de dance music Optimus Summer Spirit Albufeira;;;;;
74;;Aquisição de bens – aquisição de 5 impressoras laser Nashuatec SP C420D;;Ajuste directo;21/08/2008;;;1 dias;;2.840,00 €;;Câmara Municipal de Albufeira;503539473;120;Beltrão Coelho(Algarve) Equipamentos de Escritório, Lda;502098317;122;;;;Alínea e) do n.º1 do artigo 26.º do Decreto-Lei n.º18/2008, de 29/01.;Não aplicável;;;Aquisição de bens – aquisição de 5 impressoras laser Nashuatec SP C420D;;;;;
75;;Aquisição de serviços – reserva de viagem e alojamento para Vice-Presidente da Câmara e técnica da Divisão de Relações Públicas, Turismo e Defesa do Consumidor – visita a AMERSFOORT;;Ajuste directo;21/08/2008;;;4 dias;;1.784,62 €;;Câmara Municipal de Albufeira;503539473;120;Star Viagens e Turismo, SA;500886113;121;;;;Alínea h) do n.º1 do artigo 27.º do Decreto-Lei n.º18/2008, de 29/01.;Não aplicável;;;Aquisição de serviços – reserva de viagem e alojamento para Vice-Presidente da Câmara e técnica da Divisão de Relações Públicas, Turismo e Defesa do Consumidor – visita a AMERSFOORT;;;;;
76;;Aquisição de bens – kit-quadros interactivos para as escolas do Município;;Ajuste directo;21/08/2008;;;1 dias;;40.638,00 €;;Câmara Municipal de Albufeira;503539473;120;Beltrão Coelho(Algarve) Equipamentos de Escritório, Lda;502098317;122;;;;Alínea e) do n.º1 do artigo 26.º do Decreto-Lei n.º18/2008, de 29/01.;Não aplicável;;;Aquisição de bens – kit-quadros interactivos para as escolas do Município;;;;;
77;;Aquisição de bens – licenças de software;;Ajuste directo;21/08/2008;;;3 dias;;18.877,80 €;;Câmara Municipal de Albufeira;503539473;120;PH Informática e Micro Sistemas, SA;502413603;123;;;;Alínea e) do n.º1 do artigo 26.º do Decreto-Lei n.º18/2008, de 29/01.;Não aplicável;;;Aquisição de bens – licenças de software;;;;;
78;;Aquisição de serviços – espectáculo de dance music Optimus Summer Spirit Albufeira;;Ajuste directo;21/08/2008;;;2 dias;;30.850,00 €;;Câmara Municipal de Albufeira;503539473;120;Soul Music Management, Lda;508037611;124;;;;Alínea e) do n.º1 do artigo 24.º do Decreto-Lei n.º18/2008, de 29/01.;Não aplicável;;;Aquisição de serviços – espectáculo de dance music Optimus Summer Spirit Albufeira;;;;;
79;;Aquisição de bens – fornecimento de gasóleo rodoviário;;Ajuste directo;21/08/2008;;;3 dias;;22.878,00 €;;Câmara Municipal de Albufeira;503539473;120;BP Portugal – Comércio de Combustíveis e Lubrificantes, SA;500194670;125;;;;Alínea e) do n.º1 do artigo 26.º do Decreto-Lei n.º18/2008, de 29/01.;Não aplicável;;;Aquisição de bens – fornecimento de gasóleo rodoviário;;;;;
80;;Fornecimento de Portal on-line – atendimento;;Ajuste directo;20/08/2008;;;30 dias;;10.900,00 €;;Câmara Municipal de Pinhel;506787249;126;Ano – Sistemas de Informática e Serviços, Lda.;503182710;5;;;;Alínea f) nº.1 artigo 27º. do CCP;Não aplicável;;;Fornecimento de Portal on-line – atendimento;;;;;
81;;Aquisição de serviços para realização de auditoria financeira;;Ajuste directo;22/08/2008;;;40 dias;;40.000,00 €;;Instituto de Gestão Financeira e de Infra-Estruturas da Justiça, I.P.,;505587815;128;Ascensão, Gomes, Cruz & Associado, S.r.o.c – Sociedade de revisores oficiais de contas;501308970;129;;;;Não Preenchido;Não aplicável;;;Aquisição de serviços para realização de auditoria financeira;;;;;
82;;Construção e montagem de um stand para a Feira “Maison et Object” em Paris, França;;Ajuste directo;17/06/2009;;;10 dias;França;13.000,00 €;;Instituto do Vinho, do Bordado e do Artesanato da Madeira, IP;511270305;130;Construtora da Ferraria, S.A.;502890398;131;;;;Não Preenchido;Não aplicável;;;Construção e montagem de um stand para a Feira “Maison et Object” em Paris, França;;;;;
83;;Aquisição sistema de gestão integrada do circuito do medicamento;;Ajuste directo;22/08/2008;;;90 dias;;52.440,00 €;;Centro Hospitalar das Caldas da Rainha;501178708;70;Softlimits;507781350;132;;;;Alínea e) do n.º 1 do artigo 26º e alínea c) do n.º 261 do Dec-Lei 18/2008 de 29/1;Não aplicável;;;Aquisição sistema de gestão integrada do circuito do medicamento;;;;;
84;;Fornecimento de combustível (gásoleo) a granel;;Ajuste directo;21/08/2008;;;1 dias;;5.096,00 €;;Câmara Municipal de Benavente;506676056;56;Repsol Portuguesa,S.A.;500246963;57;;;;Alína e) do nº1 do artº 26º do D.L. nº18/08, de 29 de Janeiro;Não aplicável;;;Fornecimento de combustível (gásoleo) a granel;;;;;
85;;Reparação da Fonte Luminosa  na Freguesia de Vaiamonte.;;Ajuste directo;20/08/2008;;;21 dias;;11.820,00 €;;Câmara Municipal de Monforte;506873412;78;Barcaráguas, Lda.;505720558;134;;;;Não Preenchido;Não aplicável;;;Reparação da Fonte Luminosa  na Freguesia de Vaiamonte.;;;;;
86;;Renovação da Plataforma para Controlo de Acessos à Internet;Aquisição de serviços;Ajuste directo;17/06/2009;19/08/2008;18/11/2008;30 dias;"Portugal, Santarém, Ferreira do Zezere; Portugal, Santarém, Vila Nova da Barquinha; Portugal, Santarém, Constancia; Portugal, Santarém, Tomar; Portugal, Santarém, Abrantes; Portugal, Santarém, Entroncamento";9.006,60 €;7.505,50 €;Comunidade Urbana do Médio Tejo;502106506;135;Tecnidata SI – Serviços e Equipamentos de Informática, S.A.;501551557;137;;;;Artigo 26.º, n.º 1, alínea a) do Código dos Contratos Públicos;Não aplicável;;72261000-2, Serviços de assistência em matéria de software;Renovação da Plataforma para Controlo de Acessos à Internet;;;O valor contratual por lapso foi introduzido com IVA;;
88;;Aquisição de serviços de pequena reparação e conservação das instalações da Sede da AMRS;;Ajuste directo;22/08/2008;;;30 dias;;14.567,00 €;;Associação de Municípios da Região de Setúbal;501380574;83;Carlos Alberto Marrilhas Duarte;154074063;138;;;;Não Preenchido;Não aplicável;;;Aquisição de serviços de pequena reparação e conservação das instalações da Sede da AMRS;;;;;
